file_name,ori,loc,phase/pattern,SSGv,SSGv,BSG,MGnv,MGv
0000000428.bmp,17,8,6,1,0,0,0,0
0000000429.bmp,19,7,6,1,0,0,0,0
0000000430.bmp,22,6,6,1,0,0,0,0
0000000431.bmp,29,5,6,1,0,0,0,0
0000000432.bmp,21,12,6,1,0,0,0,0
0000000433.bmp,33,4,1,1,0,0,0,0
0000000434.bmp,39,3,1,1,0,0,0,0
0000000435.bmp,21,2,1,1,0,0,0,0
0000000436.bmp,31,1,1,1,0,0,0,0
0000000437.bmp,23,11,1,1,0,0,0,0
0000000438.bmp,27,10,1,1,0,0,0,0
0000000439.bmp,29,9,1,1,0,0,0,0
0000000440.bmp,32,8,1,1,0,0,0,0
0000000441.bmp,35,7,1,1,0,0,0,0
0000000442.bmp,28,6,1,1,0,0,0,0
0000000443.bmp,25,5,1,1,0,0,0,0
0000000444.bmp,37,12,1,1,0,0,0,0
0000000445.bmp,33,4,1,1,0,0,0,0
0000000446.bmp,39,3,1,1,0,0,0,0
0000000447.bmp,21,2,1,1,0,0,0,0
0000000448.bmp,31,1,1,1,0,0,0,0
0000000449.bmp,23,11,1,1,0,0,0,0
0000000450.bmp,27,10,1,1,0,0,0,0
0000000451.bmp,29,9,1,1,0,0,0,0
0000000452.bmp,32,8,1,1,0,0,0,0
0000000453.bmp,35,7,1,1,0,0,0,0
0000000454.bmp,28,6,1,1,0,0,0,0
0000000455.bmp,25,5,1,1,0,0,0,0
0000000456.bmp,37,12,1,1,0,0,0,0
0000000457.bmp,33,4,1,1,0,0,0,0
0000000458.bmp,39,3,1,1,0,0,0,0
0000000459.bmp,21,2,1,1,0,0,0,0
0000000460.bmp,31,1,1,1,0,0,0,0
0000000461.bmp,23,11,1,1,0,0,0,0
0000000462.bmp,27,10,1,1,0,0,0,0
0000000463.bmp,29,9,1,1,0,0,0,0
0000000464.bmp,32,8,1,1,0,0,0,0
0000000465.bmp,35,7,1,1,0,0,0,0
0000000466.bmp,28,6,1,1,0,0,0,0
0000000467.bmp,25,5,1,1,0,0,0,0
0000000468.bmp,37,12,1,1,0,0,0,0
0000000469.bmp,32,4,2,1,0,0,0,0
0000000470.bmp,37,3,2,1,0,0,0,0
0000000471.bmp,25,2,2,1,0,0,0,0
0000000472.bmp,33,1,2,1,0,0,0,0
0000000473.bmp,23,11,2,1,0,0,0,0
0000000474.bmp,29,10,2,1,0,0,0,0
0000000475.bmp,39,9,2,1,0,0,0,0
0000000476.bmp,35,8,2,1,0,0,0,0
0000000477.bmp,28,7,2,1,0,0,0,0
0000000478.bmp,31,6,2,1,0,0,0,0
0000000479.bmp,21,5,2,1,0,0,0,0
0000000480.bmp,27,12,2,1,0,0,0,0
0000000481.bmp,32,4,2,1,0,0,0,0
0000000482.bmp,37,3,2,1,0,0,0,0
0000000483.bmp,25,2,2,1,0,0,0,0
0000000484.bmp,33,1,2,1,0,0,0,0
0000000485.bmp,23,11,2,1,0,0,0,0
0000000486.bmp,29,10,2,1,0,0,0,0
0000000487.bmp,39,9,2,1,0,0,0,0
0000000488.bmp,35,8,2,1,0,0,0,0
0000000489.bmp,28,7,2,1,0,0,0,0
0000000490.bmp,31,6,2,1,0,0,0,0
0000000491.bmp,21,5,2,1,0,0,0,0
0000000492.bmp,27,12,2,1,0,0,0,0
0000000493.bmp,32,4,2,1,0,0,0,0
0000000494.bmp,37,3,2,1,0,0,0,0
0000000495.bmp,25,2,2,1,0,0,0,0
0000000496.bmp,33,1,2,1,0,0,0,0
0000000497.bmp,23,11,2,1,0,0,0,0
0000000498.bmp,29,10,2,1,0,0,0,0
0000000499.bmp,39,9,2,1,0,0,0,0
0000000500.bmp,35,8,2,1,0,0,0,0
0000000501.bmp,28,7,2,1,0,0,0,0
0000000502.bmp,31,6,2,1,0,0,0,0
0000000503.bmp,21,5,2,1,0,0,0,0
0000000504.bmp,27,12,2,1,0,0,0,0
0000000505.bmp,29,4,3,1,0,0,0,0
0000000506.bmp,39,3,3,1,0,0,0,0
0000000507.bmp,33,2,3,1,0,0,0,0
0000000508.bmp,32,1,3,1,0,0,0,0
0000000509.bmp,25,11,3,1,0,0,0,0
0000000510.bmp,27,10,3,1,0,0,0,0
0000000511.bmp,28,9,3,1,0,0,0,0
0000000512.bmp,37,8,3,1,0,0,0,0
0000000513.bmp,31,7,3,1,0,0,0,0
0000000514.bmp,23,6,3,1,0,0,0,0
0000000515.bmp,35,5,3,1,0,0,0,0
0000000516.bmp,21,12,3,1,0,0,0,0
0000000517.bmp,29,4,3,1,0,0,0,0
0000000518.bmp,39,3,3,1,0,0,0,0
0000000519.bmp,33,2,3,1,0,0,0,0
0000000520.bmp,32,1,3,1,0,0,0,0
0000000521.bmp,25,11,3,1,0,0,0,0
0000000522.bmp,27,10,3,1,0,0,0,0
0000000523.bmp,28,9,3,1,0,0,0,0
0000000524.bmp,37,8,3,1,0,0,0,0
0000000525.bmp,31,7,3,1,0,0,0,0
0000000526.bmp,23,6,3,1,0,0,0,0
0000000527.bmp,35,5,3,1,0,0,0,0
0000000528.bmp,21,12,3,1,0,0,0,0
0000000529.bmp,29,4,3,1,0,0,0,0
0000000530.bmp,39,3,3,1,0,0,0,0
0000000531.bmp,33,2,3,1,0,0,0,0
0000000532.bmp,32,1,3,1,0,0,0,0
0000000533.bmp,25,11,3,1,0,0,0,0
0000000534.bmp,27,10,3,1,0,0,0,0
0000000535.bmp,28,9,3,1,0,0,0,0
0000000536.bmp,37,8,3,1,0,0,0,0
0000000537.bmp,31,7,3,1,0,0,0,0
0000000538.bmp,23,6,3,1,0,0,0,0
0000000539.bmp,35,5,3,1,0,0,0,0
0000000540.bmp,21,12,3,1,0,0,0,0
0000000541.bmp,23,4,4,1,0,0,0,0
0000000542.bmp,33,3,4,1,0,0,0,0
0000000543.bmp,28,2,4,1,0,0,0,0
0000000544.bmp,21,1,4,1,0,0,0,0
0000000545.bmp,31,11,4,1,0,0,0,0
0000000546.bmp,32,10,4,1,0,0,0,0
0000000547.bmp,39,9,4,1,0,0,0,0
0000000548.bmp,25,8,4,1,0,0,0,0
0000000549.bmp,35,7,4,1,0,0,0,0
0000000550.bmp,37,6,4,1,0,0,0,0
